Problem,Solution
thirty six minus eighty six,minus fifty
eighty three minus eight,seventy five
seventy times twenty five,one thousand seven hundred and fifty
ninety five times eighty three,seven thousand eight hundred and eighty five
thirty seven plus twenty one,fifty eight
forty seven times sixty,two thousand eight hundred and twenty
seventy five divided by six,twelve point five
two divided by nineteen,zero point one one
forty eight plus nine,fifty seven
thirty three divided by seventy,zero point four seven
sixty five minus eleven,fifty four
eighty eight divided by ninety four,zero point nine four
eighty seven minus ninety six,minus nine
seventy three times eighty seven,six thousand three hundred and fifty one
eighty one minus sixty nine,twelve
eighteen minus fifty five,minus thirty seven
eleven divided by ninety six,zero point one one
forty nine divided by eighty five,zero point five eight
ten minus ninety seven,minus eighty seven
nine plus eighty six,ninety five
sixty five times forty eight,three thousand one hundred and twenty
twelve plus thirty two,forty four
seventy eight divided by forty nine,one point five nine
thirty six minus fifty one,minus fifteen
ninety five times twenty eight,two thousand six hundred and sixty
forty five divided by one,forty five
three plus seventy four,seventy seven
thirty five minus three,thirty two
seventeen plus eighty two,ninety nine
eighteen divided by thirty nine,zero point four six
eight times forty one,three hundred and twenty eight
twenty eight minus sixty two,minus thirty four
eight divided by thirty three,zero point two four
forty two times seventy eight,three thousand two hundred and seventy six
fifty four times sixty three,three thousand four hundred and two
twenty four minus sixty two,minus thirty eight
eleven times fifty,five hundred and fifty
forty four minus seventy three,minus twenty nine
seventy six plus sixty nine,one hundred and forty five
twenty eight times ninety one,two thousand five hundred and forty eight
ninety three plus eighteen,one hundred and eleven
thirty one times one hundred,three thousand one hundred
ten divided by ninety four,zero point one one
sixty eight minus one hundred,minus thirty two
ninety minus eighty,ten
twenty six times forty nine,one thousand two hundred and seventy four
eleven minus two,nine
fifty six plus seventy nine,one hundred and thirty five
thirty six times twenty four,eight hundred and sixty four
fifty nine minus twenty five,thirty four
twenty times eighty,one thousand six hundred
twenty five divided by seventy six,zero point three three
thirty two divided by ninety one,zero point three five
ninety five minus twenty nine,sixty six
five times ninety one,four hundred and fifty five
sixty three plus thirty seven,one hundred
sixty one minus forty eight,thirteen
twenty seven plus eighteen,forty five
seventy times seventy six,five thousand three hundred and twenty
seventy five times sixty three,four thousand seven hundred and twenty five
sixty eight minus thirty six,thirty two
twenty three times thirteen,two hundred and ninety nine
twenty nine plus forty two,seventy one
forty two divided by twenty five,one point six eight
seventy two times ninety five,six thousand eight hundred and forty
sixty five times fifty seven,three thousand seven hundred and five
one hundred plus twenty nine,one hundred and twenty nine
seventy three divided by thirty seven,one point nine seven
forty nine plus thirteen,sixty two
forty four minus eighteen,twenty six
sixty nine times sixty one,four thousand two hundred and nine
twenty six minus seventy eight,minus fifty two
ninety minus forty seven,forty three
thirty four times fifty four,one thousand eight hundred and thirty six
eleven divided by fifty nine,zero point one nine
forty two times nine,three hundred and seventy eight
forty one divided by ninety two,zero point four five
sixty seven minus sixty one,six
ninety five divided by two,forty seven point five
sixty plus thirty one,ninety one
sixty times eighty one,four thousand eight hundred and sixty
eighty six times ninety three,seven thousand nine hundred and ninety eight
seventy nine plus eighteen,ninety seven
eighteen minus three,fifteen
thirty three divided by fifty three,zero point six two
