Problem,Solution
"If 3 times a number plus 10 equals 16, what is the number?",2.0
"If 9 times a number plus 6 equals 5, what is the number?",-0.11
"If 1 times a number plus 9 equals 4, what is the number?",-5.0
"If 3 times a number plus 4 equals 12, what is the number?",2.67
"If 6 times a number plus 3 equals 7, what is the number?",0.67
"If 6 times a number plus 7 equals 1, what is the number?",-1.0
"If 7 times a number plus 3 equals 9, what is the number?",0.86
"If 10 times a number plus 9 equals 7, what is the number?",-0.2
"If 7 times a number plus 3 equals 14, what is the number?",1.57
"If 1 times a number plus 6 equals 2, what is the number?",-4.0
"If 3 times a number plus 8 equals 11, what is the number?",1.0
"If 5 times a number plus 3 equals 17, what is the number?",2.8
"If 1 times a number plus 9 equals 13, what is the number?",4.0
"If 4 times a number plus 4 equals 17, what is the number?",3.25
"If 1 times a number plus 6 equals 12, what is the number?",6.0
"If 1 times a number plus 3 equals 7, what is the number?",4.0
"If 1 times a number plus 6 equals 6, what is the number?",0.0
"If 4 times a number plus 4 equals 20, what is the number?",4.0
"If 3 times a number plus 1 equals 3, what is the number?",0.67
"If 10 times a number plus 3 equals 4, what is the number?",0.1
"If 10 times a number plus 7 equals 3, what is the number?",-0.4
"If 5 times a number plus 2 equals 4, what is the number?",0.4
"If 2 times a number plus 9 equals 3, what is the number?",-3.0
"If 2 times a number plus 8 equals 3, what is the number?",-2.5
"If 6 times a number plus 9 equals 14, what is the number?",0.83
"If 6 times a number plus 8 equals 19, what is the number?",1.83
"If 10 times a number plus 6 equals 9, what is the number?",0.3
"If 4 times a number plus 5 equals 13, what is the number?",2.0
"If 1 times a number plus 6 equals 2, what is the number?",-4.0
"If 7 times a number plus 2 equals 12, what is the number?",1.43
"If 8 times a number plus 3 equals 18, what is the number?",1.88
"If 8 times a number plus 9 equals 6, what is the number?",-0.38
"If 10 times a number plus 1 equals 2, what is the number?",0.1
"If 8 times a number plus 8 equals 15, what is the number?",0.88
"If 6 times a number plus 9 equals 11, what is the number?",0.33
"If 6 times a number plus 10 equals 6, what is the number?",-0.67
"If 3 times a number plus 7 equals 17, what is the number?",3.33
"If 1 times a number plus 3 equals 12, what is the number?",9.0
"If 9 times a number plus 4 equals 18, what is the number?",1.56
"If 1 times a number plus 2 equals 4, what is the number?",2.0
"If 6 times a number plus 6 equals 12, what is the number?",1.0
"If 4 times a number plus 8 equals 16, what is the number?",2.0
"If 3 times a number plus 5 equals 2, what is the number?",-1.0
"If 8 times a number plus 7 equals 10, what is the number?",0.38
"If 7 times a number plus 4 equals 14, what is the number?",1.43
"If 7 times a number plus 5 equals 1, what is the number?",-0.57
"If 5 times a number plus 3 equals 13, what is the number?",2.0
"If 6 times a number plus 9 equals 16, what is the number?",1.17
"If 2 times a number plus 4 equals 13, what is the number?",4.5
"If 1 times a number plus 6 equals 12, what is the number?",6.0
"If 2 times a number plus 2 equals 16, what is the number?",7.0
"If 2 times a number plus 1 equals 2, what is the number?",0.5
"If 10 times a number plus 7 equals 17, what is the number?",1.0
"If 6 times a number plus 8 equals 8, what is the number?",0.0
"If 7 times a number plus 2 equals 12, what is the number?",1.43
"If 9 times a number plus 9 equals 19, what is the number?",1.11
"If 3 times a number plus 7 equals 4, what is the number?",-1.0
"If 4 times a number plus 10 equals 14, what is the number?",1.0
"If 7 times a number plus 8 equals 19, what is the number?",1.57
"If 5 times a number plus 3 equals 6, what is the number?",0.6
"If 10 times a number plus 1 equals 5, what is the number?",0.4
"If 6 times a number plus 5 equals 17, what is the number?",2.0
"If 2 times a number plus 5 equals 8, what is the number?",1.5
