Problem,Solution
eighty seven plus ninety seven,one hundred and eighty four
seventy six plus ninety four,one hundred and seventy
thirteen plus twenty three,thirty six
ninety five plus eighty one,one hundred and seventy six
twenty five plus sixty seven,ninety two
forty six plus ninety two,one hundred and thirty eight
sixteen plus thirty seven,fifty three
forty plus ninety one,one hundred and thirty one
thirty seven plus seventy nine,one hundred and sixteen
seventy four plus two,seventy six
thirty eight plus seventy eight,one hundred and sixteen
ninety one plus sixty nine,one hundred and sixty
fifty five plus eighty eight,one hundred and forty three
twenty nine plus forty eight,seventy seven
thirty eight plus twenty seven,sixty five
fifty six plus twenty,seventy six
eighty plus seventy four,one hundred and fifty four
eleven plus seventy,eighty one
nineteen plus seventy five,ninety four
eleven plus ninety one,one hundred and two
seventeen plus eighty four,one hundred and one
forty nine plus forty four,ninety three
fifty plus fifty two,one hundred and two
eighty eight plus seventy,one hundred and fifty eight
seventy three plus seventy two,one hundred and forty five
ninety plus twenty eight,one hundred and eighteen
fourteen plus seventy two,eighty six
twenty four plus twelve,thirty six
seventy six plus sixty five,one hundred and forty one
thirty one plus sixty,ninety one
forty two plus six,forty eight
forty eight plus seventy nine,one hundred and twenty seven
ninety nine plus ninety six,one hundred and ninety five
twenty five plus twenty six,fifty one
nine plus forty seven,fifty six
fifty seven plus sixty two,one hundred and nineteen
forty eight plus ninety nine,one hundred and forty seven
eleven plus thirty nine,fifty
forty three plus fifty five,ninety eight
twenty eight plus forty six,seventy four
sixty three plus seven,seventy
fifty plus thirty four,eighty four
ninety five plus sixty five,one hundred and sixty
one hundred plus twenty four,one hundred and twenty four
eighteen plus ninety nine,one hundred and seventeen
ninety five plus thirteen,one hundred and eight
eighteen plus sixteen,thirty four
five plus eighty one,eighty six
thirty four plus forty four,seventy eight
thirty seven plus twenty nine,sixty six
nineteen plus fifty eight,seventy seven
eighty four plus thirty three,one hundred and seventeen
twenty nine plus sixty five,ninety four
six plus seventy four,eighty
twenty two plus ninety seven,one hundred and nineteen
twenty three plus five,twenty eight
forty one plus twelve,fifty three
eighty six plus thirty seven,one hundred and twenty three
sixty three plus eight,seventy one
seventy five plus sixty eight,one hundred and forty three
seventy six plus ninety six,one hundred and seventy two
forty seven plus seventy seven,one hundred and twenty four
eighty one plus forty five,one hundred and twenty six
twenty five plus thirteen,thirty eight
nineteen plus thirty two,fifty one
eighty eight plus nineteen,one hundred and seven
thirteen plus six,nineteen
ninety one plus ninety,one hundred and eighty one
seventy seven plus forty seven,one hundred and twenty four
sixty seven plus sixty six,one hundred and thirty three
fifty three plus twenty seven,eighty
ninety one plus forty eight,one hundred and thirty nine
forty two plus forty five,eighty seven
thirty three plus twenty one,fifty four
sixty eight plus fifty one,one hundred and nineteen
eighty one plus eighty five,one hundred and sixty six
fifty five plus seventy nine,one hundred and thirty four
nine plus sixty seven,seventy six
nineteen plus thirty seven,fifty six
sixty six plus seventy seven,one hundred and forty three
seventy five plus thirty four,one hundred and nine
one hundred plus seventy one,one hundred and seventy one
seventy plus sixty five,one hundred and thirty five
ninety plus forty two,one hundred and thirty two
fifty plus ninety one,one hundred and forty one
ninety five plus one,ninety six
seventy four plus nine,eighty three
fifty eight plus eighty nine,one hundred and forty seven
one plus thirty two,thirty three
nineteen plus ninety five,one hundred and fourteen
seventy plus twenty one,ninety one
sixty one plus one hundred,one hundred and sixty one
twenty one plus eighty one,one hundred and two
seventy four plus forty three,one hundred and seventeen
thirty plus ninety two,one hundred and twenty two
sixty one plus seventy two,one hundred and thirty three
eighty five plus twenty nine,one hundred and fourteen
eighteen plus nineteen,thirty seven
fifty three plus forty two,ninety five
sixty seven plus twenty nine,ninety six
sixty plus thirty three,ninety three
eighty three plus fifty two,one hundred and thirty five
thirty four plus ten,forty four
ninety two plus seventeen,one hundred and nine
thirty eight plus thirty six,seventy four
forty seven plus thirty six,eighty three
thirty two plus eighty five,one hundred and seventeen
forty two plus sixty seven,one hundred and nine
fifty plus seventy seven,one hundred and twenty seven
thirty seven plus ninety nine,one hundred and thirty six
seven plus sixty seven,seventy four
fifty two plus twenty five,seventy seven
twelve plus eighteen,thirty
sixty four plus forty two,one hundred and six
twenty four plus eighteen,forty two
eighty four plus sixteen,one hundred
fifty five plus forty four,ninety nine
thirteen plus ten,twenty three
thirty seven plus seventy four,one hundred and eleven
seventy seven plus sixty seven,one hundred and forty four
ninety three plus sixteen,one hundred and nine
seventy seven plus thirty four,one hundred and eleven
twenty three plus fourteen,thirty seven
ninety eight plus sixty four,one hundred and sixty two
eighty three plus twenty five,one hundred and eight
fifty seven plus sixteen,seventy three
twenty six plus ninety five,one hundred and twenty one
forty six plus ninety three,one hundred and thirty nine
thirty five plus twenty two,fifty seven
ninety plus twenty five,one hundred and fifteen
seventy three plus thirteen,eighty six
ninety nine plus fifty eight,one hundred and fifty seven
ninety four plus seven,one hundred and one
eighty plus eighty three,one hundred and sixty three
eighty four plus seventeen,one hundred and one
ninety six plus ninety four,one hundred and ninety
forty plus fifty three,ninety three
sixty one plus sixty five,one hundred and twenty six
eighty four plus fifty,one hundred and thirty four
three plus sixteen,nineteen
thirty plus ninety six,one hundred and twenty six
