Problem,Solution
"The square of a number, multiplied by 5, plus 10 times the number, plus 4 equals 0. What is the number?","-1.45, -0.55"
"The square of a number, multiplied by 2, plus 3 times the number, plus 0 equals 0. What is the number?","-1.50, 0"
"The square of a number, multiplied by 1, plus 5 times the number, plus 6 equals 0. What is the number?","-3.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 6 times the number, plus 8 equals 0. What is the number?","-4.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 1, plus 6 times the number, plus 3 equals 0. What is the number?","-5.45, -0.55"
"The square of a number, multiplied by 4, plus 7 times the number, plus 1 equals 0. What is the number?","-1.59, -0.16"
"The square of a number, multiplied by 4, plus 10 times the number, plus 5 equals 0. What is the number?","-1.81, -0.69"
"The square of a number, multiplied by 2, plus 7 times the number, plus 3 equals 0. What is the number?","-3.00000000000000, -0.50"
"The square of a number, multiplied by 3, plus 5 times the number, plus 0 equals 0. What is the number?","-1.67, 0"
"The square of a number, multiplied by 1, plus 7 times the number, plus 6 equals 0. What is the number?","-6.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 0 equals 0. What is the number?","-9.00000000000000, 0"
"The square of a number, multiplied by 3, plus 4 times the number, plus 0 equals 0. What is the number?","-1.33, 0"
"The square of a number, multiplied by 3, plus 10 times the number, plus 2 equals 0. What is the number?","-3.12, -0.21"
"The square of a number, multiplied by 4, plus 7 times the number, plus 3 equals 0. What is the number?","-1.00000000000000, -0.75"
"The square of a number, multiplied by 2, plus 7 times the number, plus 5 equals 0. What is the number?","-2.50, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 4 equals 0. What is the number?","-8.53, -0.47"
"The square of a number, multiplied by 5, plus 8 times the number, plus 1 equals 0. What is the number?","-1.46, -0.14"
"The square of a number, multiplied by 1, plus 9 times the number, plus 12 equals 0. What is the number?","-7.37, -1.63"
"The square of a number, multiplied by 2, plus 6 times the number, plus 0 equals 0. What is the number?","-3.00000000000000, 0"
"The square of a number, multiplied by 2, plus 9 times the number, plus 6 equals 0. What is the number?","-3.69, -0.81"
"The square of a number, multiplied by 3, plus 7 times the number, plus 3 equals 0. What is the number?","-1.77, -0.57"
"The square of a number, multiplied by 5, plus 6 times the number, plus 0 equals 0. What is the number?","-1.20, 0"
"The square of a number, multiplied by 5, plus 5 times the number, plus 1 equals 0. What is the number?","-0.72, -0.28"
"The square of a number, multiplied by 4, plus 9 times the number, plus 1 equals 0. What is the number?","-2.13, -0.12"
"The square of a number, multiplied by 3, plus 6 times the number, plus 2 equals 0. What is the number?","-1.58, -0.42"
"The square of a number, multiplied by 1, plus 9 times the number, plus 15 equals 0. What is the number?","-6.79, -2.21"
"The square of a number, multiplied by 5, plus 10 times the number, plus 2 equals 0. What is the number?","-1.77, -0.23"
"The square of a number, multiplied by 1, plus 4 times the number, plus 4 equals 0. What is the number?",-2.00000000000000
"The square of a number, multiplied by 3, plus 3 times the number, plus 0 equals 0. What is the number?","-1.00000000000000, 0"
"The square of a number, multiplied by 4, plus 10 times the number, plus 6 equals 0. What is the number?","-1.50, -1.00000000000000"
"The square of a number, multiplied by 1, plus 9 times the number, plus 12 equals 0. What is the number?","-7.37, -1.63"
"The square of a number, multiplied by 1, plus 5 times the number, plus 3 equals 0. What is the number?","-4.30, -0.70"
"The square of a number, multiplied by 3, plus 6 times the number, plus 3 equals 0. What is the number?",-1.00000000000000
"The square of a number, multiplied by 1, plus 5 times the number, plus 1 equals 0. What is the number?","-4.79, -0.21"
"The square of a number, multiplied by 1, plus 4 times the number, plus 4 equals 0. What is the number?",-2.00000000000000
"The square of a number, multiplied by 2, plus 7 times the number, plus 6 equals 0. What is the number?","-2.00000000000000, -1.50"
"The square of a number, multiplied by 2, plus 5 times the number, plus 2 equals 0. What is the number?","-2.00000000000000, -0.50"
"The square of a number, multiplied by 4, plus 7 times the number, plus 3 equals 0. What is the number?","-1.00000000000000, -0.75"
"The square of a number, multiplied by 3, plus 9 times the number, plus 1 equals 0. What is the number?","-2.88, -0.12"
"The square of a number, multiplied by 3, plus 10 times the number, plus 1 equals 0. What is the number?","-3.23, -0.10"
"The square of a number, multiplied by 1, plus 9 times the number, plus 11 equals 0. What is the number?","-7.54, -1.46"
"The square of a number, multiplied by 2, plus 5 times the number, plus 0 equals 0. What is the number?","-2.50, 0"
"The square of a number, multiplied by 2, plus 10 times the number, plus 12 equals 0. What is the number?","-3.00000000000000, -2.00000000000000"
"The square of a number, multiplied by 3, plus 10 times the number, plus 5 equals 0. What is the number?","-2.72, -0.61"
"The square of a number, multiplied by 4, plus 10 times the number, plus 6 equals 0. What is the number?","-1.50, -1.00000000000000"
"The square of a number, multiplied by 4, plus 1 times the number, plus 0 equals 0. What is the number?","-0.25, 0"
"The square of a number, multiplied by 3, plus 9 times the number, plus 0 equals 0. What is the number?","-3.00000000000000, 0"
"The square of a number, multiplied by 2, plus 8 times the number, plus 7 equals 0. What is the number?","-2.71, -1.29"
"The square of a number, multiplied by 5, plus 5 times the number, plus 1 equals 0. What is the number?","-0.72, -0.28"
"The square of a number, multiplied by 3, plus 5 times the number, plus 2 equals 0. What is the number?","-1.00000000000000, -0.67"
"The square of a number, multiplied by 2, plus 8 times the number, plus 7 equals 0. What is the number?","-2.71, -1.29"
"The square of a number, multiplied by 1, plus 4 times the number, plus 1 equals 0. What is the number?","-3.73, -0.27"
"The square of a number, multiplied by 3, plus 0 times the number, plus 0 equals 0. What is the number?",0
"The square of a number, multiplied by 2, plus 10 times the number, plus 5 equals 0. What is the number?","-4.44, -0.56"
"The square of a number, multiplied by 2, plus 10 times the number, plus 10 equals 0. What is the number?","-3.62, -1.38"
"The square of a number, multiplied by 3, plus 5 times the number, plus 0 equals 0. What is the number?","-1.67, 0"
"The square of a number, multiplied by 3, plus 10 times the number, plus 1 equals 0. What is the number?","-3.23, -0.10"
"The square of a number, multiplied by 2, plus 8 times the number, plus 6 equals 0. What is the number?","-3.00000000000000, -1.00000000000000"
"The square of a number, multiplied by 2, plus 4 times the number, plus 0 equals 0. What is the number?","-2.00000000000000, 0"
"The square of a number, multiplied by 1, plus 10 times the number, plus 15 equals 0. What is the number?","-8.16, -1.84"
"The square of a number, multiplied by 3, plus 4 times the number, plus 0 equals 0. What is the number?","-1.33, 0"
"The square of a number, multiplied by 3, plus 9 times the number, plus 3 equals 0. What is the number?","-2.62, -0.38"
"The square of a number, multiplied by 4, plus 9 times the number, plus 3 equals 0. What is the number?","-1.84, -0.41"
"The square of a number, multiplied by 1, plus 6 times the number, plus 3 equals 0. What is the number?","-5.45, -0.55"
"The square of a number, multiplied by 1, plus 8 times the number, plus 15 equals 0. What is the number?","-5.00000000000000, -3.00000000000000"
